Name;URL;Author;Price;Number of Ratings;Average Rating
One Indian Girl;https://www.amazon.in/One-Indian-Girl-Chetan-Bhagat/dp/8129142147?_encoding=UTF8&psc=1;Chetan Bhagat;INR 110.00;3,967;3.6 out of 5 stars
The Blue Umbrella;https://www.amazon.in/Blue-Umbrella-Ruskin-Bond/dp/8171673406?_encoding=UTF8&psc=1;Ruskin Bond;INR 56.00;207;4.3 out of 5 stars
New Simplified Physics : A Reference Book for Class 12 for 2019 Examination (Set of 2 Volumes);https://www.amazon.in/New-Simplified-Physics-Reference-Examination/dp/B00KILPXEE?_encoding=UTF8&psc=1;S.L. Arora;INR 975.00;101;4.3 out of 5 stars
CBSE UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude;https://www.amazon.in/CBSE-UGC-NET-SET-JRF/dp/9332551731?_encoding=UTF8&psc=1;KVS Madaan;INR 337.00;179;4.3 out of 5 stars
Super 10 Mock Tests for NEET 2018;https://www.amazon.in/Super-Mock-Tests-NEET-2018/dp/9387421147?_encoding=UTF8&psc=1;Disha Experts;INR 168.00;13;4.5 out of 5 stars
Moments : Supplementary Reader in English for Class - 9  - 960;https://www.amazon.in/Moments-Supplementary-Reader-English-Class/dp/8174505032?_encoding=UTF8&psc=1;NCERT;Not available;4;4.3 out of 5 stars
Prep Guide to BITSAT 2018;https://www.amazon.in/Prep-Guide-BITSAT-Arihant-Experts/dp/9311130133?_encoding=UTF8&psc=1;Arihant Experts;INR 451.00;20;4.7 out of 5 stars
The Old Man and the Sea;https://www.amazon.in/Old-Man-Sea-Ernest-Hemingway/dp/0099908409?_encoding=UTF8&psc=1;Ernest Hemingway;INR 98.00;1,029;4.3 out of 5 stars
Concepts of Physics 1;https://www.amazon.in/Concepts-Physics-1-H-C-Verma/dp/8177091875?_encoding=UTF8&psc=1;H.C. Verma;INR 328.00;641;4.6 out of 5 stars
Quantitative Aptitude for Competitive Examinations (Old Edition);https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Old/dp/8121924987?_encoding=UTF8&psc=1;R.S. Aggarwal;INR 299.00;1,925;3.8 out of 5 stars
Science Textbook for Class 10- 1064;https://www.amazon.in/Science-Textbook-Class-10-1064/dp/8174506365?_encoding=UTF8&psc=1;NCERT;INR 150.00;50;3.2 out of 5 stars
The Fault in our Stars;https://www.amazon.in/Fault-our-Stars-John-Green/dp/0141345659?_encoding=UTF8&psc=1;John Green;INR 259.00;1,378;4.4 out of 5 stars
Harry Potter and the Philosopher's Stone;https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling/dp/1408855658?_encoding=UTF8&psc=1;J.K. Rowling;INR 339.00;774;4.7 out of 5 stars
