Name;URL;Author;Price;Number of Ratings;Average Rating
Legal and Regulatory Aspects of Banking - JAIIB (3rd Edition);https://www.amazon.in/Legal-Regulatory-Aspects-Banking-JAIIB/dp/9350597284?_encoding=UTF8&psc=1;IIBF;INR 394.00;189;4.4 out of 5 stars
How to Win Friends and Influence People;https://www.amazon.in/How-Win-Friends-Influence-People/dp/8192910997?_encoding=UTF8&psc=1;Dale Carnegie;INR 99.00;1,825;4.5 out of 5 stars
Keepers of the Kalachakra: The latest thriller in the Bharat Series by bestselling author Ashwin Sanghi;https://www.amazon.in/Keepers-Kalachakra-latest-thriller-bestselling/dp/9386850648?_encoding=UTF8&psc=1;Ashwin Sanghi;INR 205.00;192;4.2 out of 5 stars
Picture Books Collection for Early Learning;https://www.amazon.in/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P?_encoding=UTF8&psc=1;E C Axus;INR 230.00;96;4.0 out of 5 stars
23 Years CSAT General Studies IAS Prelims Topic-wise Solved Papers (1995-2017);https://www.amazon.in/General-Studies-Prelims-Topic-wise-1995-2017/dp/9386629283?_encoding=UTF8&psc=1;Disha Experts;INR 243.00;141;4.0 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Physics;https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Physics/dp/9311128740?_encoding=UTF8&psc=1;DC Pandey;INR 224.00;77;4.2 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Chemistry;https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Chemistry/dp/9311128759?_encoding=UTF8&psc=1;Ranjeet Shahi;INR 190.00;73;3.9 out of 5 stars
How to Prepare for Quantitative Aptitude for the CAT;https://www.amazon.in/How-Prepare-Quantitative-Aptitude-CAT/dp/9352602242?_encoding=UTF8&psc=1;Arun Sharma;INR 474.00;228;4.2 out of 5 stars
Combo Pack: Science for Class 10 (2019 Exam) with Free Virtual Reality Gear;https://www.amazon.in/Combo-Pack-Science-Virtual-Reality/dp/B07896K9RY?_encoding=UTF8&psc=1;Lakhmir Singh;INR 1,122.00;12;3.8 out of 5 stars
Three Thousand Stitches: Ordinary People, Extraordinary Lives;https://www.amazon.in/Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055?_encoding=UTF8&psc=1;Sudha Murty;INR 131.00;157;4.4 out of 5 stars
The Oath of the Vayuputras (Shiva Trilogy);https://www.amazon.in/Oath-Vayuputras-Shiva-Trilogy/dp/9382618341?_encoding=UTF8&psc=1;Amish Tripathi;INR 227.00;1,410;4.4 out of 5 stars
Study Guide for B.Arch 2018;https://www.amazon.in/Study-Guide-B-Arch-2018-Mishra/dp/9312146033?_encoding=UTF8&psc=1;PK Mishra;INR 189.00;4;4.4 out of 5 stars
Objective NCERT at your Fingertips - Biology;https://www.amazon.in/Objective-NCERT-your-Fingertips-Biology/dp/938656193X?_encoding=UTF8&psc=1;MTG Editorial Board;INR 565.00;178;4.7 out of 5 stars
This Is Not Your Story;https://www.amazon.in/This-Your-Story-Savi-Sharma/dp/9386224399?_encoding=UTF8&psc=1;Savi Sharma;INR 95.00;1,879;4.5 out of 5 stars
General Knowledge 2019;https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/931214734X?_encoding=UTF8&psc=1;Manohar Pandey;INR 126.00;17;4.0 out of 5 stars
To Kill a Mockingbird;https://www.amazon.in/Kill-Mockingbird-Harper-Lee/dp/0099549484?_encoding=UTF8&psc=1;Harper Lee;INR 230.00;1,045;4.3 out of 5 stars
CBSE UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude;https://www.amazon.in/CBSE-UGC-NET-SET-JRF/dp/9332551731?_encoding=UTF8&psc=1;KVS Madaan;INR 337.00;176;4.3 out of 5 stars
Why I Am a Hindu;https://www.amazon.in/Why-Hindu-Dr-Shashi-Tharoor/dp/9386021102?_encoding=UTF8&psc=1;Dr. Shashi Tharoor;INR 398.00;105;3.5 out of 5 stars
Trueman's UGC NET/SET General Paper I;https://www.amazon.in/Truemans-UGC-NET-General-Paper/dp/8189301225?_encoding=UTF8&psc=1;M. Gagan;INR 265.00;297;4.2 out of 5 stars
Harry Potter and the Chamber of Secrets (Harry Potter 2);https://www.amazon.in/Harry-Potter-Chamber-Secrets/dp/1408855666?_encoding=UTF8&psc=1;J.K. Rowling;INR 260.00;379;4.6 out of 5 stars
16 Year's Solved Papers Karnataka CET Engineering Entrance;https://www.amazon.in/Solved-Papers-Karnataka-Engineering-Entrance/dp/9312142550?_encoding=UTF8&psc=1;Arihant Experts;INR 255.00;5;4.7 out of 5 stars
The Official Cambridge Guide To Ielts Student's Book With Answers With Dvd Rom;https://www.amazon.in/Official-Cambridge-Guide-Students-Answers/dp/110744277X?_encoding=UTF8&psc=1;Pauline Cullen;INR 545.00;198;4.2 out of 5 stars
Target VITEEE - Past 12 Years (2017-2006) Solved Papers + 10 Mock Tests;https://www.amazon.in/Target-VITEEE-2017-2006-Solved-Papers/dp/9386629763?_encoding=UTF8&psc=1;Disha Experts;INR 308.00;5;5.0 out of 5 stars
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated Cover;https://www.amazon.in/Ram-Scion-Ikshvaku-Chandra-Updated/dp/9385152149?_encoding=UTF8&psc=1;Amish Tripathi;INR 198.00;4,379;4.1 out of 5 stars
Grandma's Bag of Stories;https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623?_encoding=UTF8&psc=1;Sudha Murty;INR 215.00;442;4.4 out of 5 stars
The Theory of Everything;https://www.amazon.in/Theory-Everything-Stephen-Hawking/dp/8179925919?_encoding=UTF8&psc=1;Stephen Hawking;INR 187.00;370;4.5 out of 5 stars
Animal Farm;https://www.amazon.in/Animal-Farm-George-Orwell/dp/0143416316?_encoding=UTF8&psc=1;George Orwell;INR 90.00;748;4.6 out of 5 stars
The Fault in our Stars;https://www.amazon.in/Fault-our-Stars-John-Green/dp/0141345659?_encoding=UTF8&psc=1;John Green;INR 240.00;1,374;4.4 out of 5 stars
Business Adventures;https://www.amazon.in/Business-Adventures-John-Brooks/dp/1473612233?_encoding=UTF8&psc=1;John Brooks;INR 330.00;59;4.0 out of 5 stars
Concepts of Physics 1;https://www.amazon.in/Concepts-Physics-1-H-C-Verma/dp/8177091875?_encoding=UTF8&psc=1;H.C. Verma;INR 329.00;637;4.6 out of 5 stars
One Indian Girl;https://www.amazon.in/One-Indian-Girl-Chetan-Bhagat/dp/8129142147?_encoding=UTF8&psc=1;Chetan Bhagat;INR 92.00;3,957;3.6 out of 5 stars
Black Holes: The Reith Lectures;https://www.amazon.in/Black-Holes-Lectures-Stephen-Hawking/dp/085750357X?_encoding=UTF8&psc=1;Stephen Hawking;INR 80.00;101;4.3 out of 5 stars
Mathematics for Class 12 by R D Sharma (Set of 2 Volume) (2018-19 Session);https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193663012?_encoding=UTF8&psc=1;R.D. Sharma;INR 855.00;8;4.1 out of 5 stars
The Old Man and the Sea;https://www.amazon.in/Old-Man-Sea-Ernest-Hemingway/dp/0099908409?_encoding=UTF8&psc=1;Ernest Hemingway;INR 129.00;1,020;4.3 out of 5 stars
Who Will Cry When You Die?;https://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324?_encoding=UTF8&psc=1;Robin Sharma;INR 149.00;2,420;4.4 out of 5 stars
Peppa Pig: Fairy Tale Little Library;https://www.amazon.in/Peppa-Pig-Fairy-Little-Library/dp/1409306178?_encoding=UTF8&psc=1;Lauren Holowaty;INR 133.00;210;3.9 out of 5 stars
Objective NCERT at Your Fingertips for NEET-AIIMS - Chemistry;https://www.amazon.in/Objective-NCERT-Your-Fingertips-NEET-AIIMS/dp/9386561921?_encoding=UTF8&psc=1;MTG Editorial Board;INR 515.00;81;4.4 out of 5 stars
12 Years' Solved Papers CBSE AIPMT & NEET;https://www.amazon.in/Years-Solved-Papers-CBSE-AIPMT/dp/9311127639?_encoding=UTF8&psc=1;Arihant Experts;INR 244.00;26;4.0 out of 5 stars
New Simplified Physics : A Reference Book for Class 12 for 2019 Examination (Set of 2 Volumes);https://www.amazon.in/New-Simplified-Physics-Reference-Examination/dp/B00KILPXEE?_encoding=UTF8&psc=1;S.L. Arora;INR 975.00;98;4.3 out of 5 stars
